epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.543,1.77204,1.77595,1.01172,0.40591,0.4179,0.38105,0.1772,1.94506,1.71193,1.0574,3.93267e-05,3.93267e-05,3.93267e-05
2,1093.2,1.63996,1.44977,0.96129,0.45553,0.47529,0.45239,0.22904,1.83401,1.50387,1.03502,7.71025e-05,7.71025e-05,7.71025e-05
3,1608.1,1.63802,1.38081,0.96204,0.67059,0.46896,0.49611,0.24358,1.80203,1.4371,1.00401,0.000113321,0.000113321,0.000113321
4,2177.99,1.61447,1.29595,0.95276,0.55981,0.56918,0.53736,0.28319,1.76271,1.35832,1.00804,0.000110991,0.000110991,0.000110991
5,2835.67,1.57282,1.24031,0.94115,0.62548,0.54439,0.55861,0.28154,1.75937,1.3421,1.0026,0.000108654,0.000108654,0.000108654
6,3344.75,1.56323,1.20549,0.93022,0.59715,0.55918,0.56378,0.29023,1.75078,1.32603,0.99587,0.000106318,0.000106318,0.000106318
7,3858.19,1.56886,1.19218,0.94032,0.69501,0.57027,0.5892,0.30477,1.72516,1.31877,0.98737,0.000103982,0.000103982,0.000103982
8,4368.59,1.53804,1.1441,0.92004,0.71974,0.56721,0.60273,0.31335,1.72947,1.23146,0.99158,0.000101645,0.000101645,0.000101645
9,4866.92,1.52161,1.11351,0.91577,0.76937,0.59297,0.61295,0.3336,1.7008,1.2119,0.98317,9.93088e-05,9.93088e-05,9.93088e-05
10,5389.72,1.52527,1.13167,0.9115,0.5561,0.59899,0.56056,0.29714,1.69225,1.29186,0.97986,9.69724e-05,9.69724e-05,9.69724e-05
11,5917.18,1.5246,1.10949,0.90856,0.58863,0.56302,0.57758,0.32038,1.67897,1.25785,0.97859,9.4636e-05,9.4636e-05,9.4636e-05
12,6471.56,1.47761,1.06954,0.90636,0.56289,0.58258,0.58406,0.31711,1.68484,1.24932,0.97845,9.22996e-05,9.22996e-05,9.22996e-05
13,7160.51,1.50036,1.07235,0.89866,0.59404,0.5854,0.58915,0.32884,1.6864,1.2111,0.9778,8.99632e-05,8.99632e-05,8.99632e-05
14,7693.95,1.47674,1.0702,0.90556,0.69744,0.5816,0.6084,0.32528,1.69831,1.21771,0.98077,8.76268e-05,8.76268e-05,8.76268e-05
15,8389.19,1.47847,1.06017,0.89575,0.65829,0.58554,0.60189,0.31945,1.6883,1.23789,0.98447,8.52904e-05,8.52904e-05,8.52904e-05
16,8990.23,1.49442,1.06449,0.89389,0.54088,0.59711,0.57989,0.31922,1.67167,1.22486,0.98083,8.2954e-05,8.2954e-05,8.2954e-05
17,9512.54,1.47471,1.05017,0.89601,0.63425,0.59135,0.60184,0.33114,1.65123,1.20142,0.96456,8.06176e-05,8.06176e-05,8.06176e-05
