epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,10009,1.45387,1.03286,0.89175,0.60434,0.59963,0.59258,0.32701,1.66696,1.26879,0.97175,7.82812e-05,7.82812e-05,7.82812e-05
19,10507.4,1.45337,1.02011,0.89334,0.58619,0.62084,0.60007,0.33506,1.66233,1.24789,0.97624,7.59448e-05,7.59448e-05,7.59448e-05
20,11024,1.43961,1.00761,0.89284,0.59761,0.59831,0.60025,0.33727,1.65046,1.24714,0.96962,7.36084e-05,7.36084e-05,7.36084e-05
21,11546.3,1.46547,1.01053,0.89374,0.73376,0.62351,0.63215,0.33976,1.65878,1.17842,0.97271,7.1272e-05,7.1272e-05,7.1272e-05
22,12069,1.45025,0.9993,0.89018,0.67779,0.58964,0.61388,0.33895,1.64208,1.19317,0.9704,6.89356e-05,6.89356e-05,6.89356e-05
23,12575.5,1.44964,0.99419,0.88612,0.80003,0.62083,0.63796,0.35938,1.63491,1.13599,0.9706,6.65992e-05,6.65992e-05,6.65992e-05
24,13082.3,1.44987,0.99578,0.88699,0.62496,0.59267,0.60656,0.33137,1.6513,1.21493,0.97316,6.42628e-05,6.42628e-05,6.42628e-05
25,13589.2,1.41994,0.97673,0.878,0.58058,0.59431,0.59677,0.32144,1.65536,1.23148,0.97402,6.19264e-05,6.19264e-05,6.19264e-05
26,14100.4,1.43457,0.97841,0.88543,0.67048,0.61848,0.61675,0.34156,1.65864,1.17219,0.96819,5.959e-05,5.959e-05,5.959e-05
27,14607.6,1.4163,0.96948,0.87502,0.76889,0.62083,0.64397,0.35266,1.63236,1.14817,0.96947,5.72536e-05,5.72536e-05,5.72536e-05
28,15115.2,1.41284,0.96849,0.87664,0.67748,0.60344,0.61103,0.32813,1.65842,1.20062,0.96747,5.49172e-05,5.49172e-05,5.49172e-05
29,15621.9,1.41748,0.9731,0.87641,0.79798,0.61816,0.64824,0.36446,1.61605,1.12508,0.96188,5.25808e-05,5.25808e-05,5.25808e-05
30,16125.4,1.41064,0.96514,0.87336,0.76643,0.6005,0.63925,0.35141,1.64035,1.14492,0.96672,5.02444e-05,5.02444e-05,5.02444e-05
31,16619.2,1.40093,0.95695,0.87524,0.83451,0.62388,0.66603,0.36129,1.62723,1.14654,0.96007,4.7908e-05,4.7908e-05,4.7908e-05
32,17111.8,1.41084,0.95111,0.87628,0.77925,0.63887,0.65998,0.36373,1.60895,1.12703,0.96058,4.55716e-05,4.55716e-05,4.55716e-05
33,17602.7,1.39815,0.9498,0.87585,0.74504,0.61612,0.63591,0.34219,1.64276,1.1938,0.97274,4.32352e-05,4.32352e-05,4.32352e-05
34,18096.2,1.38007,0.94206,0.86889,0.81848,0.62444,0.6586,0.36378,1.61272,1.137,0.96664,4.08988e-05,4.08988e-05,4.08988e-05
35,18601.1,1.37698,0.93079,0.8554,0.73899,0.62444,0.65149,0.35939,1.61772,1.13373,0.96499,3.85624e-05,3.85624e-05,3.85624e-05
36,19110.5,1.3815,0.94199,0.87124,0.65324,0.61153,0.62287,0.35041,1.61721,1.15316,0.96333,3.6226e-05,3.6226e-05,3.6226e-05
37,19616.6,1.38328,0.93038,0.8665,0.694,0.62226,0.64327,0.35957,1.6155,1.13898,0.96678,3.38896e-05,3.38896e-05,3.38896e-05
38,20124.1,1.39224,0.9326,0.8745,0.67193,0.62302,0.63014,0.36026,1.60595,1.10284,0.96586,3.15532e-05,3.15532e-05,3.15532e-05
39,20631.7,1.3836,0.92196,0.86753,0.63852,0.6252,0.62116,0.35068,1.62184,1.1281,0.96713,2.92168e-05,2.92168e-05,2.92168e-05
40,21141.9,1.3608,0.90604,0.85847,0.72495,0.62236,0.6565,0.36649,1.6119,1.10112,0.96583,2.68804e-05,2.68804e-05,2.68804e-05
41,21651.9,1.46742,0.87544,0.86634,0.60883,0.62655,0.59154,0.33316,1.62124,1.15217,0.96769,2.4544e-05,2.4544e-05,2.4544e-05
42,22162,1.43979,0.86575,0.85685,0.63276,0.62418,0.60639,0.3349,1.63164,1.15995,0.97092,2.22076e-05,2.22076e-05,2.22076e-05
43,22669.8,1.45426,0.8646,0.86321,0.72337,0.61791,0.64572,0.36076,1.62551,1.12146,0.96925,1.98712e-05,1.98712e-05,1.98712e-05
44,23179.5,1.43443,0.86425,0.85868,0.63381,0.61983,0.62023,0.35477,1.62645,1.14774,0.96985,1.75348e-05,1.75348e-05,1.75348e-05
45,23690,1.44871,0.86192,0.85872,0.65077,0.61689,0.63223,0.36542,1.61396,1.1473,0.96665,1.51984e-05,1.51984e-05,1.51984e-05
46,24200.3,1.43339,0.8538,0.85539,0.7054,0.61938,0.65041,0.37398,1.60209,1.11011,0.9684,1.2862e-05,1.2862e-05,1.2862e-05
47,24712.5,1.43914,0.84935,0.85732,0.66962,0.61949,0.6322,0.35821,1.62599,1.13222,0.97177,1.05256e-05,1.05256e-05,1.05256e-05
48,25221.2,1.43196,0.85087,0.85639,0.69822,0.62294,0.64536,0.36543,1.61307,1.11801,0.97021,8.1892e-06,8.1892e-06,8.1892e-06
49,25733.5,1.42352,0.84501,0.85851,0.68339,0.61891,0.63552,0.36138,1.62155,1.14107,0.96991,5.8528e-06,5.8528e-06,5.8528e-06
50,26244.8,1.43,0.84545,0.85998,0.6858,0.61578,0.63441,0.36079,1.62319,1.13792,0.97031,3.5164e-06,3.5164e-06,3.5164e-06
